questionText,trlLevel,technologyType,category,toolTip
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Formulation optimized based on initial animal response,3,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Toxicity Test Conducted,3,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Proof of Potential Economic Viability,3,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Intellectual Property (IP) Protection Initiated,3,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Positive experimental results on product efficacy under controlled conditions,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Passed Toxicity Evaluation,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Shelf stability established,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Intellectual Property (IP) Protection filed,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Accomplished Initial Business Model Canvas (BMC),4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Market Research conducted,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Product formulation for scaled-up pilot production,5,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Pilot scale-based Manual of Production created,5,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Product promotion and packaging conducted,5,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Meetings with potential industry partners,5,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Product tested for scaled-up pilot production,6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Agreements with industry parters for product testing secured,6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
First industry-scale production completed,6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Initial market tests conducted (demonstration to farmers or distributors),6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Technology Commercialization Plan prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
IP Valuation Report Prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Successful validation of industry-scale production,7,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Standardized manual for industry-scale production established,7,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Secure Letter of Intent for Licensing,7,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Technology Licensing Terms Undergoing Negotiation,7,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Business Plan crafted,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification,7,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Product ready for full-scale commercial production (replicable without error),8,Fertilizer and Pesticide (including Organic and Bio-based Products),,
FPA/BAFS Registered,8,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Technology Licensing Terms Negotiated,8,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Fairness Opinion Review requested,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Agreement signed,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Food, Food Ingredients and Beverages",Technology Status,
Potential users or target beneficiaries identified,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Initial experiments conducted in laboratory (benchscale),2,"Food, Food Ingredients and Beverages",,
First prototype/formulation created for sensory analysis,2,"Food, Food Ingredients and Beverages",,
Internal/preliminary sensory screening conducted,2,"Food, Food Ingredients and Beverages",,
Initial assessment on the potential user,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Optimized formulation for highest sensory acceptability,3,"Food, Food Ingredients and Beverages",,
Proximate analysis conducted to assess chemical properties,3,"Food, Food Ingredients and Beverages",,
Proof of Potential Economic Viability,3,"Food, Food Ingredients and Beverages",,
Intellectual Property (IP) Protection Initiated,3,"Food, Food Ingredients and Beverages",,
Product validated through target consumer sensory testing,4,"Food, Food Ingredients and Beverages",,
Positive proximate analysis confirmed,4,"Food, Food Ingredients and Beverages",,
Shelf-life established at least under laboratory conditions,4,"Food, Food Ingredients and Beverages",,
Allergen profiling/screening conducted,4,"Food, Food Ingredients and Beverages",,
Intellectual Property (IP) Protection filed,4,"Food, Food Ingredients and Beverages",,
Accomplished Initial Business Model Canvas (BMC),4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,"Food, Food Ingredients and Beverages",,
Market Research is conducted,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,"Food, Food Ingredients and Beverages",,
Product formulation for scaled-up pilot production,5,"Food, Food Ingredients and Beverages",,
Pilot scale-based Manual of Production created,5,"Food, Food Ingredients and Beverages",,
Product promotion and packaging conducted,5,"Food, Food Ingredients and Beverages",,
Meetings with potential industry partners,5,"Food, Food Ingredients and Beverages",,
Product tested for scaled-up pilot production,6,"Food, Food Ingredients and Beverages",,
Agreements with industry parters for product testing secured,6,"Food, Food Ingredients and Beverages",,
First industry-scale production Initiated,6,"Food, Food Ingredients and Beverages",,
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages",,
Technology Commercialization Plan prepared,6,"Food, Food Ingredients and Beverages",,
IP Valuation Report Prepared,6,"Food, Food Ingredients and Beverages",,
Successful validation of industry-scale production,7,"Food, Food Ingredients and Beverages",,
Standardized manual for industry-scale production established,7,"Food, Food Ingredients and Beverages",,
Secure Letter of Intent for Licensing,7,"Food, Food Ingredients and Beverages",,
Technology Licensing Terms Undergoing Negotiation,7,"Food, Food Ingredients and Beverages",,
Business Plan crafted,7,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification,7,"Food, Food Ingredients and Beverages",,
Product ready for full-scale commercial production (replicable without error),8,"Food, Food Ingredients and Beverages",,
FDA Approval/Certification Obtained,8,"Food, Food Ingredients and Beverages",,
HACCP/HALAL Certified (if Necessary/Check if not applicable),8,"Food, Food Ingredients and Beverages",,
Technology Licensing Terms Negotiated,8,"Food, Food Ingredients and Beverages",,
Fairness Opinion Review requested,8,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Licensing Agreement signed,9,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology fully commercialized/Product commercially available to consumers,9,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,ICT (Apps and System involving IoT),Technology Status,
Potential users or target beneficiaries identified,1,ICT (Apps and System involving IoT),Market and Commercialization Status,
System design formulated,2,ICT (Apps and System involving IoT),,
Initial coding completed,2,ICT (Apps and System involving IoT),,
Initial assessment of potential user requirements and usability,2,ICT (Apps and System involving IoT),Market and Commercialization Status,
Source code completed,3,ICT (Apps and System involving IoT),,
Working system/application developed (integrated prototype),3,ICT (Apps and System involving IoT),,
Proof of Potential Economic Viability,3,ICT (Apps and System involving IoT),,
Intellectual Property (IP) Protection Initiated,3,ICT (Apps and System involving IoT),,
Alpha testing successfully conducted,4,ICT (Apps and System involving IoT),,
Intellectual Property (IP) Protection filed,4,ICT (Apps and System involving IoT),,
Accomplished Initial Business Model Canvas (BMC),4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,ICT (Apps and System involving IoT),,
Market Research conducted,4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,ICT (Apps and System involving IoT),,
Beta testing successfully conducted with select external users,5,ICT (Apps and System involving IoT),,
"User feedback incorporated to improve system usability, reliability, and performance",5,ICT (Apps and System involving IoT),,
User Guide/manual for system created,5,ICT (Apps and System involving IoT),,
Product promotion Conducted,5,ICT (Apps and System involving IoT),,
Meetings with potential industry partners,5,ICT (Apps and System involving IoT),,
Agreements with industry parters for product testing secured,6,ICT (Apps and System involving IoT),,
System/application deployed for initial industry use,6,ICT (Apps and System involving IoT),,
Core system stable in limited commercial operations,6,ICT (Apps and System involving IoT),,
Technology Commercialization Plan prepared,6,ICT (Apps and System involving IoT),,
IP Valuation Report Prepared,6,ICT (Apps and System involving IoT),,
System stable in industry-scale operations (Stable Release),7,ICT (Apps and System involving IoT),,
Scalable architecture validated under real-world usage,7,ICT (Apps and System involving IoT),,
Secure Letter of Intent for Licensing,7,ICT (Apps and System involving IoT),,
Technology Licensing Terms Undergoing Negotiation,7,ICT (Apps and System involving IoT),,
Business Plan crafted,7,ICT (Apps and System involving IoT),Market and Commercialization Status,
"Processing of Requirements for Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification",7,ICT (Apps and System involving IoT),,
System/application ready for full-scale commercial operation (replicable without error),8,ICT (Apps and System involving IoT),,
"Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification Secured",8,ICT (Apps and System involving IoT),,
Technology Licensing Terms Negotiated,8,ICT (Apps and System involving IoT),,
Fairness Opinion Review requested,8,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Agreement signed,9,ICT (Apps and System involving IoT),Industry Adoption Status,
System/application fully commercialized and available to target users,9,ICT (Apps and System involving IoT),Market and Commercialization Status,
Material concept identified from AANR resource,1,Natural Resource–Derived Materials,,
Potential material properties identified,1,Natural Resource–Derived Materials,,
Material formulation or composition defined,2,Natural Resource–Derived Materials,,
"Intended application identified (e.g., construction, packaging, handicrafts)",2,Natural Resource–Derived Materials,,
Initial laboratory scale processing method proposed,2,Natural Resource–Derived Materials,,
Laboratory-scale sample produced,3,Natural Resource–Derived Materials,,
"Preliminary testing conducted (e.g., tensile strength, density, absorption)",3,Natural Resource–Derived Materials,,
Proof of Potential Economic Viability,3,Natural Resource–Derived Materials,,
Intellectual Property (IP) Protection Initiated,3,Natural Resource–Derived Materials,,
Repeatable laboratory-scale production achieved,4,Natural Resource–Derived Materials,,
"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)",4,Natural Resource–Derived Materials,,
Intellectual Property (IP) Protection filed,4,Natural Resource–Derived Materials,,
Accomplished Initial Business Model Canvas (BMC),4,Natural Resource–Derived Materials,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Natural Resource–Derived Materials,,
Market Research conducted,4,Natural Resource–Derived Materials,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Natural Resource–Derived Materials,,
Pilot-scale material production conducted,5,Natural Resource–Derived Materials,,
Performance tested under simulated or relevant conditions,5,Natural Resource–Derived Materials,,
Initial cost and raw material availability assessed,5,Natural Resource–Derived Materials,,
Product promotion Conducted,5,Natural Resource–Derived Materials,,
Meetings with potential industry partners,5,Natural Resource–Derived Materials,,
Prototype material or product fabricated,6,Natural Resource–Derived Materials,,
Agreements with industry parters for product testing secured,6,Natural Resource–Derived Materials,,
"Demonstrated performance in intended application (e.g., wall panel, packaging unit)",6,Natural Resource–Derived Materials,,
Preliminary user or industry feedback obtained,6,Natural Resource–Derived Materials,,
Technology Commercialization Plan prepared,6,Natural Resource–Derived Materials,,
IP Valuation Report Prepared,6,Natural Resource–Derived Materials,,
"Field testing completed (e.g., construction site, packaging trial)",7,Natural Resource–Derived Materials,,
Standardized production protocol/manual established,7,Natural Resource–Derived Materials,,
Submitted for applicable standards assessment,7,Natural Resource–Derived Materials,,
Secure Letter of Intent for Licensing,7,Natural Resource–Derived Materials,,
Technology Licensing Terms Undergoing Negotiation,7,Natural Resource–Derived Materials,,
Business Plan crafted,7,Natural Resource–Derived Materials,Market and Commercialization Status,
Final material specification established,8,Natural Resource–Derived Materials,,
Regulatory or standards compliance completed,8,Natural Resource–Derived Materials,Regulatory Compliance Status,
Scaled-up production process validated,8,Natural Resource–Derived Materials,,
Technology Licensing Terms Negotiated,8,Natural Resource–Derived Materials,,
Fairness Opinion Review requested,8,Natural Resource–Derived Materials,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Natural Resource–Derived Materials,Industry Adoption Status,
Material commercially produced/Commercially available to target users,9,Natural Resource–Derived Materials,Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Potential end-users and target markets identified,1,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Parent animals with desirable traits Selected,2,New Animal Breed (Aquatic and Terrestrial),,
"Genetics, Lineage, and Breeding Foundation Reviewed",2,New Animal Breed (Aquatic and Terrestrial),,
Target Traits for Improvement Identified,2,New Animal Breed (Aquatic and Terrestrial),,
Preliminary assessment of market demand for target traits,2,New Animal Breed (Aquatic and Terrestrial),,
"Initial crosses, selective breeding, or genetic modification conducted",3,New Animal Breed (Aquatic and Terrestrial),,
Progeny produced and screened for presence of target traits,3,New Animal Breed (Aquatic and Terrestrial),,
Breeding Events Documented,3,New Animal Breed (Aquatic and Terrestrial),,
Proof of Potential Economic Viability,3,New Animal Breed (Aquatic and Terrestrial),,
"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",4,New Animal Breed (Aquatic and Terrestrial),,
"Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",4,New Animal Breed (Aquatic and Terrestrial),,
Early-stage engagement with potential end-users for feedback,4,New Animal Breed (Aquatic and Terrestrial),,
Identified Potential industry Partner for Industry Testing,4,New Animal Breed (Aquatic and Terrestrial),,
Stable lines/strain or family groups selected,5,New Animal Breed (Aquatic and Terrestrial),,
Preliminary field trials conducted in controlled farm/aquaculture plots,5,New Animal Breed (Aquatic and Terrestrial),,
"Data collected for growth, survivability, product quality, and adaptability",5,New Animal Breed (Aquatic and Terrestrial),,
Accomplished Initial Business Model Canvas (BMC),5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Animal Breed (Aquatic and Terrestrial),,
Market Research conducted,5,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Meetings with potential industry partners,5,New Animal Breed (Aquatic and Terrestrial),,
Agreements with industry parters for product testing secured,6,New Animal Breed (Aquatic and Terrestrial),,
Multi-location trials conducted across diverse environmental conditions,6,New Animal Breed (Aquatic and Terrestrial),,
Engagement with farms/aquaculture operators for breeding and performance testing,6,New Animal Breed (Aquatic and Terrestrial),,
Industry feedback collected,6,New Animal Breed (Aquatic and Terrestrial),,
Regulatory preparation for breed registration or approval initiated,6,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Protocols standardized for propagation of new breed/strain,7,New Animal Breed (Aquatic and Terrestrial),,
Engagement with breeding partners or commercial operators,7,New Animal Breed (Aquatic and Terrestrial),,
Processing of Requirements for Bureau of Animal Industry (BAI) or Philippine Carabao Center (PCC) or National Dairy Authority (NDA) Approval/Certification,7,New Animal Breed (Aquatic and Terrestrial),,
Secure Letter of Intent for Licensing,7,New Animal Breed (Aquatic and Terrestrial),,
Technology Licensing Terms Undergoing Negotiation,7,New Animal Breed (Aquatic and Terrestrial),,
Business Plan crafted,7,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Stable and consistent breeding achieved at industry scale,8,New Animal Breed (Aquatic and Terrestrial),,
BAI/PCC/NDA Approval/Certification Secured,8,New Animal Breed (Aquatic and Terrestrial),,
Technology Licensing Terms Negotiated,8,New Animal Breed (Aquatic and Terrestrial),,
Fairness Opinion Review requested,8,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
New animal breed fully commercialized/Breed commercially available to target users,9,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Plant Variety (Conventional),Technology Status,
Potential end-users and target markets identified,1,New Plant Variety (Conventional),Market and Commercialization Status,
Germplasm Collected,2,New Plant Variety (Conventional),,
"Plant genetics, traits, and breeding foundation reviewed",2,New Plant Variety (Conventional),,
Target traits clearly identified,2,New Plant Variety (Conventional),,
Breeding Planned Prepared,2,New Plant Variety (Conventional),,
"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",2,New Plant Variety (Conventional),,
Initial crosses or mutation events conducted,3,New Plant Variety (Conventional),,
Progeny produced and screened for presence of target traits,3,New Plant Variety (Conventional),,
Proof of Potential Economic Viability,3,New Plant Variety (Conventional),,
Progeny successfully grown under controlled conditions (greenhouse/screenhouse),4,New Plant Variety (Conventional),,
Target traits confirmed in progeny,4,New Plant Variety (Conventional),,
Early-stage feedback from potential seed users,4,New Plant Variety (Conventional),,
Identified Potential industry Partner for Industry Testing,4,New Plant Variety (Conventional),,
