questionText,trlLevel,technologyType,category,toolTip
Fairness Opinion Review requested,8,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Compliance with regulatory requirements,8,Agri-Aqua Machinery and Facility,Regulatory Compliance Status,
Technology Licensing Agreement is signed,9,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology fully commercialized/Machine or facility commercially available to target users,9,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Potential user identified ,1,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial experiments conducted in laboratory,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Initial assessment on the potential user,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Initial formulation created ,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Formulation optimized based on initial results,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Accomplished Initial Business Model Canvas,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Formulated product tested with target animals,3,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Meeting with potential industry partner,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Market Research is conducted,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Proximate analysis confirms nutritional adequacy,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
"Positive experimental results observed (e.g.: growth, feed intake, health indicators)",4,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Agreements with industry parters for product testing secured,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Product improved from laboratory formulation  ,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Product displayed at trade fairs or industry events,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Manual of production created and tested at pilot scale,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
BMC enhanced based on market research,5,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Terms negotiated,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
IP Valuation conducted,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Business Plan crafted,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
"Initial market tests conducted (trade shows, limited release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
First industry-scale production,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
"Processing of documents for industry and government compliance (e.g.; feed regulation, quality standards)",7,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Successful validation of industry-scale production ,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Standardized manual for industry-scale production established,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Created the Technology Commercialization Plan,6,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Fairness Opinion Review requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Compliance with regulatory requirements achieved (BAI),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,"Animal Feed, Feed Ingredients and Animal Nutrition",Technology Status,
Technology Licensing Agreement is signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Potential user identified ,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial assessment on the potential user,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Initial experiments conducted in laboratory,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Created initial formulation,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Initial Business Model Canvas is Formulated,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Formulation optimized based on initial animal response,3,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Meeting with potential industry partner,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Market Research is conducted,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Positive experimental results on product efficacy under controlled conditions,4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
"Positive results from necessary testing (e.g.; chemical analysis, stability, environmental safety)",4,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Product improved from laboratory formulation  ,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
BMC is enhanced based on result of Market Research,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Product improved from laboratory formulation  ,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Agreements with industry parters for product testing secured,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Manual of production created and tested at pilot scale,5,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
IP Valuation is conducted,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Technology Licensing Terms negotiated,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Initial market tests conducted (e.g.; demonstration to farmers or distributors),6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Business Plan crafted,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
First industry-scale production completed,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Processing of FPA registration and environmental compliance,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Successful validation of industry-scale production ,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Standardized manual for industry-scale production established,7,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Technology Commercialization Plan prepared,6,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Fairness Opinion Review requested,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
FPA Registered,8,Fertilizer and Pesticide (including Organic and Bio-based Products),Regulatory Compliance Status,
Product ready for full-scale commercial production (replicable without error),8,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Technology Licensing Agreement is signed,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,"Food, Food Ingredients and Beverages",Technology Status,
Potential users or target beneficiaries identified,1,"Food, Food Ingredients and Beverages",Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial assessment on the potential user,2,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
First prototype/formulation created for sensory analysis,2,"Food, Food Ingredients and Beverages",Technology Status,
Internal/preliminary sensory screening conducted,2,"Food, Food Ingredients and Beverages",Technology Status,
Initial exeperiments conducted in laboratory,2,"Food, Food Ingredients and Beverages",Technology Status,
Accomplished Initial Business Model Canvas,3,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Optimized formulation for highest sensory acceptability ,3,"Food, Food Ingredients and Beverages",Technology Status,
Meeting with potential industry partner,4,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Market Research is conducted,4,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Allergen profiling/screening conducted,4,"Food, Food Ingredients and Beverages",Technology Status,
Shelf-life established under laboratory conditions,4,"Food, Food Ingredients and Beverages",Technology Status,
Proximate analysis conducted to assess chemical properties,4,"Food, Food Ingredients and Beverages",Technology Status,
Product validated through target consumer sensory testing,4,"Food, Food Ingredients and Beverages",Technology Status,
BMC enhanced based on market research,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Product displayed at trade fairs,5,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Agreements with industry parters for product testing secured,5,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Product scaled-up to pilot production,5,"Food, Food Ingredients and Beverages",Technology Status,
Manual of production created based on pilot production,5,"Food, Food Ingredients and Beverages",Technology Status,
Business Plan crafted,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Technology Licensing Terms negotiated,6,"Food, Food Ingredients and Beverages",Industry Adoption Status,
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
IP Valuation conducted,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
First industry-scale production completed,6,"Food, Food Ingredients and Beverages",Technology Status,
Successful validation of industry-scale production ,7,"Food, Food Ingredients and Beverages",Technology Status,
Technology Commercialization Plan prepared,6,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Standardized manual for industry-scale production established,7,"Food, Food Ingredients and Beverages",Technology Status,
FDA requierments submitted,7,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
FDA or BFAD Approval obtained,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
HACCP/HALAL Certified if Necessary,8,"Food, Food Ingredients and Beverages",Regulatory Compliance Status,
Fairness Opinion Review requested,8,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Product ready for full-scale commercial production (replicable without error),8,"Food, Food Ingredients and Beverages",Technology Status,
Technology Licensing Agreement is signed,9,"Food, Food Ingredients and Beverages",Industry Adoption Status,
Technology fully commercialized/Product commercially available to consumers,9,"Food, Food Ingredients and Beverages",Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,ICT (Apps and System involving IoT),Technology Status,
Potential user identified,1,ICT (Apps and System involving IoT),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
System design formulated,2,ICT (Apps and System involving IoT),Technology Status,
Initial coding completed,2,ICT (Apps and System involving IoT),Technology Status,
Initial assessment of potential user requirements and usability,2,ICT (Apps and System involving IoT),Market and Commercialization Status,
Working system/application developed (integrated prototype),3,ICT (Apps and System involving IoT),Technology Status,
Initial Business Model Canvas (BMC) developed,3,ICT (Apps and System involving IoT),Market and Commercialization Status,
Source code completed,3,ICT (Apps and System involving IoT),Technology Status,
Meeting with potential industry partner,4,ICT (Apps and System involving IoT),Industry Adoption Status,
Market Research is conducted,4,ICT (Apps and System involving IoT),Market and Commercialization Status,
Alpha testing successfully conducted,4,ICT (Apps and System involving IoT),Technology Status,"Alpha testing refers to internal testing for functionality, performance, and bug identification"
"User feedback incorporated to improve system usability, reliability, and performance",5,ICT (Apps and System involving IoT),Market and Commercialization Status,
Agreements with industry/partners for pilot deployment secured,5,ICT (Apps and System involving IoT),Industry Adoption Status,
Beta testing successfully conducted with select external users,5,ICT (Apps and System involving IoT),Technology Status,
Guide/manual for system use created,5,ICT (Apps and System involving IoT),Technology Status,
Business Model Canvas updated based on feedback and market research,5,ICT (Apps and System involving IoT),Market and Commercialization Status,
Business Plan crafted,6,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Terms negotiated,6,ICT (Apps and System involving IoT),Industry Adoption Status,
Core system stable in limited commercial operations,6,ICT (Apps and System involving IoT),Market and Commercialization Status,
System/application deployed for initial industry use,6,ICT (Apps and System involving IoT),Technology Status,
Created the Technology Commercialization Plan,6,ICT (Apps and System involving IoT),Market and Commercialization Status,
Scalable architecture validated under real-world usage,7,ICT (Apps and System involving IoT),Industry Adoption Status,
"Processing of documents for industry and government compliance (data privacy, cybersecurity, ICT regulations)",7,ICT (Apps and System involving IoT),Regulatory Compliance Status,
System stable in industry-scale operations,7,ICT (Apps and System involving IoT),Technology Status,
System/application ready for full-scale commercial operation (replicable without error,8,ICT (Apps and System involving IoT),Technology Status,
"Compliance with data privacy, cybersecurity, and ICT regulatory requirements achieved",8,ICT (Apps and System involving IoT),Regulatory Compliance Status,
Fairness Opinion Review requested,8,ICT (Apps and System involving IoT),Market and Commercialization Status,
Technology Licensing Agreement is signed,9,ICT (Apps and System involving IoT),Industry Adoption Status,
System/application fully commercialized and available to target users,9,ICT (Apps and System involving IoT),Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Potential users identified,1,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial prototype/device or diagnostic kit designed,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
First prototype or kit tested for basic functions,2,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Preliminary assessment of user requirements and operational feasibility,2,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
"Working prototype/device refined for usability, accuracy, and portability",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Sensitivity, specificity, or measurement accuracy assessed under lab conditions",3,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Initial Business Model Canvas (BMC) developed,3,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Device/kit validated under laboratory or controlled field conditions,4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Analytical performance confirmed (e.g., detection limits, repeatability, reliability)",4,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Meetings with potential industry partners,4,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Market Research conducted,4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Prototype/device/kit tested under pilot-scale or semi-field conditions,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Manual of operation established,5,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Demonstrations conducted in trade fairs, field days, or partner sites",5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Agreements with industry parters for product testing secured,5,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
BMC enhanced based on market research,5,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Device performance tested in multiple locations,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Production/assembly manual established for scalable manufacturing,6,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Technology Licensing Terms negotiated,6,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Business Plan crafted,6,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Commercialization Plan prepared,6,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
IP Valuation is conducted,6,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Successful industry validation and replication of device/kit,7,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Standardized protocol/manual for device use established,7,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Processing of documents for industry and government compliance,7,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Device/kit ready for commercial-scale production (replicable without error),8,Agri-Aqua Device and Diagnostic Kits,Technology Status,
"Compliance with regulatory requirements achieved (e.g., safety, accuracy, calibration standards)",8,Agri-Aqua Device and Diagnostic Kits,Regulatory Compliance Status,
Fairness Opinion Review requested,8,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Technology fully commercialized/Device or kit commercially available to target users,9,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Breeding objectives identified,1,New Plant Variety,Technology Status,
Potential end-users and target markets identified,1,New Plant Variety,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Parent plants selected,2,New Plant Variety,Technology Status,
"Plant genetics, traits, and breeding foundation reviewed",2,New Plant Variety,Technology Status,
Target traits clearly identified,2,New Plant Variety,Technology Status,
"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",2,New Plant Variety,Market and Commercialization Status,
Initial crosses or mutation events conducted,3,New Plant Variety,Technology Status,
Progeny produced and screened for presence of target traits,3,New Plant Variety,Technology Status,
Progeny successfully grown under controlled conditions (greenhouse/screenhouse),4,New Plant Variety,Technology Status,
Target traits confirmed in progeny,4,New Plant Variety,Technology Status,
Early-stage feedback from potential seed users,4,New Plant Variety,Market and Commercialization Status,
"Stable and pure lines selected
",5,New Plant Variety,Technology Status,
Preliminary field trials conducted in controlled plots,5,New Plant Variety,Technology Status,
Breeding plan and field performance documentation prepared,5,New Plant Variety,Technology Status,
Multi-location trials conducted to evaluate performance across environments,6,New Plant Variety,Technology Status,
Engagement with seed growers for seed multiplication tests,6,New Plant Variety,Industry Adoption Status,
Industry feedback collected,6,New Plant Variety,Industry Adoption Status,
Regulatory preparation for variety registration initiated,6,New Plant Variety,Regulatory Compliance Status,
Seed production protocols standardized for commercial adoption,7,New Plant Variety,Industry Adoption Status,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,7,New Plant Variety,Regulatory Compliance Status,
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,New Plant Variety,Regulatory Compliance Status,
Stable and consistent seed production at industry scale achieved,8,New Plant Variety,Industry Adoption Status,
Variety officially registered and released,8,New Plant Variety,Regulatory Compliance Status,
Seed certification obtained,8,New Plant Variety,Regulatory Compliance Status,
Fairness Opinion Review requested,8,New Plant Variety,Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Plant Variety,Industry Adoption Status,
New plant variety fully commercialized/Variety commercially available to target users,9,New Plant Variety,Market and Commercialization Status,
Breeding objectives and target traits identified,1,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Potential end-users identified,1,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Selection of parent animals with desirable traits,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Review of genetics, lineage, and breeding foundation",2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Identification of target traits for improvement,2,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Preliminary assessment of market demand for target traits,2,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
"Initial crosses, selective breeding, or genetic modification conducted",3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Progeny produced and screened for presence of target traits,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Documentation of breeding events,3,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",4,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Early-stage engagement with potential end-users for feedback,4,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Stable lines/strain or family groups selected,5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Preliminary field trials conducted in controlled farm/aquaculture plots
",5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
"Data collected for growth, survivability, product quality, and adaptability",5,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Multi-location trials conducted across diverse environmental conditions,6,New Animal Breed (Aquatic and Terrestrial),Technology Status,
Engagement with farms/aquaculture operators for breeding and performance testing,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Industry feedback collected,6,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Regulatory preparation for breed registration or approval initiated,6,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Protocols standardized for propagation of new breed/strain,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Engagement with breeding partners or commercial operators,7,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Processing of documents for industry and government compliance,7,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Stable and consistent breeding achieved at industry scale,8,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
Compliance with regulatory requirements completed,8,New Animal Breed (Aquatic and Terrestrial),Regulatory Compliance Status,
Fairness Opinion Review requested,8,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Animal Breed (Aquatic and Terrestrial),Industry Adoption Status,
New animal breed fully commercialized/Breed commercially available to target users,9,New Animal Breed (Aquatic and Terrestrial),Market and Commercialization Status,
Material concept identified from AANR resource,1,Natural Resource-Derived Materials,Technology Status,
Potential material properties identified,1,Natural Resource-Derived Materials,Technology Status,
Material formulation or composition defined,2,Natural Resource-Derived Materials,Technology Status,
"Intended application identified (e.g., construction, packaging, handicrafts)",2,Natural Resource-Derived Materials,Market and Commercialization Status,
Initial lab-scale processing method proposed,2,Natural Resource-Derived Materials,Technology Status,
Laboratory-scale sample produced,3,Natural Resource-Derived Materials,Technology Status,
"Preliminary testing conducted (e.g., tensile strength, density, absorption)",3,Natural Resource-Derived Materials,Technology Status,
Initial Business Model Canvas (BMC) developed,3,Natural Resource-Derived Materials,Market and Commercialization Status,
Optimized formulation established,4,Natural Resource-Derived Materials,Technology Status,
Repeatable laboratory-scale production achieved,4,Natural Resource-Derived Materials,Technology Status,
"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)",4,Natural Resource-Derived Materials,Technology Status,
Pilot-scale material production conducted,5,Natural Resource-Derived Materials,Technology Status,
Performance tested under simulated or relevant conditions,5,Natural Resource-Derived Materials,Technology Status,
Initial cost and raw material availability assessed,5,Natural Resource-Derived Materials,Market and Commercialization Status,
Prototype material or product fabricated,6,Natural Resource-Derived Materials,Technology Status,
"Demonstrated performance in intended application (e.g., wall panel, packaging unit)",6,Natural Resource-Derived Materials,Technology Status,
Preliminary user or industry feedback obtained,6,Natural Resource-Derived Materials,Industry Adoption Status,
IP Valuation is conducted,6,Natural Resource-Derived Materials,Market and Commercialization Status,
"Field testing completed (e.g., construction site, packaging trial)",7,Natural Resource-Derived Materials,Technology Status,
Standardized production protocol/manual established,7,Natural Resource-Derived Materials,Industry Adoption Status,
Submitted for applicable standards assessment,7,Natural Resource-Derived Materials,Regulatory Compliance Status,
Final material specification established,8,Natural Resource-Derived Materials,Technology Status,
Regulatory or standards compliance completed,8,Natural Resource-Derived Materials,Regulatory Compliance Status,
Scaled-up production process validated,8,Natural Resource-Derived Materials,Industry Adoption Status,
Fairness Opinion Review requested,8,Natural Resource-Derived Materials,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Natural Resource-Derived Materials,Industry Adoption Status,
Material commercially produced/Commercially available to target users,9,Natural Resource-Derived Materials,Market and Commercialization Status,
